Flowable,Alternate Unit ,Reference Unit,Conversion Factor,External Reference,UUID
"lake water, regionalized, RS",m3,kg,1000.0,added,3ce4550c-f00d-4f1d-ad2e-24aab566d752
"ground water, regionalized, BE",m3,kg,1000.0,added,3ceafde4-15ec-4f8f-babb-afd47ddb1625
"cooling water to lake, regionalized, AT",m3,kg,1000.0,added,3d3f5b9c-6856-4a96-8618-f5dec194507e
"ground water, regionalized, US",m3,kg,1000.0,added,3d861875-b42c-4d5f-ae81-88909c70e05f
water,m3,kg,1000.0,added,3e4d9e9e-6556-11dd-ad8b-0800200c9a66
"processed water to river, regionalized, CH",m3,kg,1000.0,added,3f242c3e-ab3f-4b15-9f10-034190d5adce
"processed water to lake, regionalized, HU",m3,kg,1000.0,added,3f4c5fb8-cdcb-46b1-b253-4d3912a792d6
"lake water to turbine, regionalized, CO",m3,kg,1000.0,added,3f5b72ce-5a5f-42e6-8cdd-dd9c76b3dd31
"lake water to turbine, regionalized, ES",m3,kg,1000.0,added,3f658888-51e2-433f-9f27-37bf9f700001
"ground water, regionalized, PL",m3,kg,1000.0,added,3fa3c0fa-5f59-457e-8711-40d5cac30c37
"collected rainwater to river, regionalized, KR",m3,kg,1000.0,added,3fe16436-4892-4ee3-800a-ea2d9a8af4d5
"collected rainwater to river, regionalized, PL",m3,kg,1000.0,added,40354a4d-cb85-4dd2-bf35-739fd1b0d6f2
"turbined water to river, regionalized, DK",m3,kg,1000.0,added,40479acd-1d00-4c2a-b4cf-a7ae35b11b86
"turbined water to river, regionalized, CZ",m3,kg,1000.0,added,404804e0-f9ee-43e4-b630-216a39b3f80f
"fresh water, regionalized, UA",m3,kg,1000.0,added,408ab53d-843b-43bc-849f-a600902e5abc
"cooling water to river, regionalized, JP",m3,kg,1000.0,added,40dcc05e-8819-446e-be64-b755e17744f3
"lake water, regionalized, AT",m3,kg,1000.0,added,40efd995-21d0-4487-af4f-a3810e03635f
"processed water to groundwater, regionalized, ID",m3,kg,1000.0,added,40fed416-8fff-4b7a-a486-caa09117ed50
"cooling water to lake, regionalized, MK",m3,kg,1000.0,added,411a8397-ba57-4a22-b5f1-6b8f0eae2555
"cooling water to river, regionalized, GR",m3,kg,1000.0,added,41243701-d639-46b2-9775-115750efc7cd
"fresh water, regionalized, BG",m3,kg,1000.0,added,413f3bb1-13d7-4f76-95ea-c9205cb54d54
"lake water, regionalized, DK",m3,kg,1000.0,added,4149938c-9d5d-4d81-a3bf-5c3b92762f6f
"processed water to river, regionalized, IT",m3,kg,1000.0,added,41869483-e0c4-4fbf-8713-45c155902ada
"cooling water to river, regionalized, BE",m3,kg,1000.0,added,41f338cf-d135-4731-894c-18710d619838
"processed water to lake, regionalized, FI",m3,kg,1000.0,added,42572d78-c938-4ebd-93ff-9b3ff0784cc2
"turbined water to river, regionalized, LT",m3,kg,1000.0,added,425aa805-0a68-4198-b5e9-7bfa7155116f
"processed water to groundwater, regionalized, AU",m3,kg,1000.0,added,426516df-a381-49f1-93a1-e9bb21841dee
"river water, regionalized, EE",m3,kg,1000.0,added,42c92136-4ade-4336-8fa3-4acac12d9287
"processed water to groundwater, regionalized, MK",m3,kg,1000.0,added,42e2876b-ae13-4acb-814c-5d48aca32da3
"turbined water to river, regionalized, TH",m3,kg,1000.0,added,42fe112f-908e-4ee1-9911-0fbd1bf153c9
"processed water to lake, regionalized, BD",m3,kg,1000.0,added,4308f373-3318-4cad-96f2-441895cee451
"processed water to river, regionalized, RO",m3,kg,1000.0,added,4357d5fa-4214-4436-8cd2-764c409d55e8
"cooling water to river, regionalized, PT",m3,kg,1000.0,added,4361d5f2-c4b4-4342-b7e3-bd3854cad91e
"turbined water to river, regionalized, IS",m3,kg,1000.0,added,440c6d22-9368-47f2-92b8-bf3a70a2db81
"lake water to turbine, regionalized, VN",m3,kg,1000.0,added,4434cfd8-add5-42c5-9f8d-935f4bac5134
"processed water to river, regionalized, KR",m3,kg,1000.0,added,447e153a-47cd-462e-b517-72bb74d558da
"cooling water to river, regionalized, AU",m3,kg,1000.0,added,448ed0ce-b80a-4438-b960-86b2dead7698
"turbined water to river, regionalized, FR",m3,kg,1000.0,added,44c903b6-9817-496a-925c-7628ced8f497
"river water to turbine, regionalized, NO",m3,kg,1000.0,added,44f90511-7ab8-4d2d-aed9-3218f28cf46e
"collected rainwater to river, regionalized, FI",m3,kg,1000.0,added,4520c130-a8ea-425f-8cdc-da8e358229cd
"lake water to turbine, regionalized, JP",m3,kg,1000.0,added,452dab97-c575-478a-b8bd-ea5082181e00
"lake water to turbine, regionalized, LV",m3,kg,1000.0,added,454068c2-cb3d-4f56-969a-7efd84501bc6
"lake water to turbine, regionalized, TH",m3,kg,1000.0,added,45715179-6d63-4325-a752-34b6d1aa378e
"cooling water to lake, regionalized, BG",m3,kg,1000.0,added,45ab0c04-54c6-49eb-a27f-8016fc508a49
"fresh water, regionalized, FR",m3,kg,1000.0,added,45d92083-154a-4e38-bff6-773346a327d1
"cooling water to river, regionalized, CO",m3,kg,1000.0,added,462519ec-0cc9-414b-a7da-2a8a47498c3d
"river water, regionalized, TR",m3,kg,1000.0,added,46b487c8-be9f-4e8c-be5f-dbe8d6184ae8
"ground water, low scarcity",m3,kg,1000.0,added,46e526b4-9ee7-4681-957c-f910a471df19
"collected rainwater to lake, regionalized, CI",m3,kg,1000.0,added,46e929c1-0641-4af9-a0c8-99f056d6b341
"ground water, regionalized, RU",m3,kg,1000.0,added,46f37a05-ab3b-453f-83e3-2e5330c0e63f
"river water to turbine, regionalized, IE",m3,kg,1000.0,added,473040eb-fd40-4928-ba25-bf1333e61b44
"lake water, very high scarcity",m3,kg,1000.0,added,4747aae9-5df6-4f0b-953e-69651c5556b2
"processed water to groundwater, regionalized, BE",m3,kg,1000.0,added,47a924df-c94a-4446-96d1-27d2e9396633
"processed water to river, regionalized, IS",m3,kg,1000.0,added,481e5cb9-17c6-4592-8c3f-bed86d0658cc
"ground water, regionalized, JP",m3,kg,1000.0,added,4824ff98-e127-4c0e-a282-76af90ede4ce
"turbined water to lake, regionalized, TH",m3,kg,1000.0,added,4877ae8b-0a74-4198-93b9-d4ca4698289a
"collected rainwater to river, regionalized, SK",m3,kg,1000.0,added,4880b380-9783-461f-9bab-db4d4f9af26a
"turbined water to river, regionalized, PL",m3,kg,1000.0,added,488489ef-3917-4398-869e-5d832c935e6a
"processed water to groundwater, regionalized, RU",m3,kg,1000.0,added,48b40a1e-6b83-44cf-a5ac-718746bc1fe0
"turbined water to river, regionalized, LU",m3,kg,1000.0,added,48ba3575-f191-4f16-b5e7-60fcb0811852
"river water, regionalized, UA",m3,kg,1000.0,added,48d4921e-62a4-4ff3-a505-b276bb44718c
"collected rainwater to lake, regionalized, CH",m3,kg,1000.0,added,48ecdbc1-2a14-44f0-a197-d60b3ab0d6b5
"processed water to lake, regionalized, RU",m3,kg,1000.0,added,491dcea9-ffd4-4626-962d-5945481a0222
"turbined water to lake, regionalized, US",m3,kg,1000.0,added,4937dd5b-4a2d-452b-bd0e-0e987b9f7229
"collected rainwater to lake, regionalized, VE",m3,kg,1000.0,added,493a9c7c-a6c6-4b73-a454-b32ef7840446
"collected rainwater to river, regionalized, PK",m3,kg,1000.0,added,498a02db-ad2f-4f64-8c98-7d92544db231
"processed water to groundwater, regionalized, BR",m3,kg,1000.0,added,4995d600-438d-4424-8abb-dbb27391df29
"lake water to turbine, regionalized, UZ",m3,kg,1000.0,added,499aa3a1-67c3-4116-93af-e90593c37a70
"river water, regionalized, MK",m3,kg,1000.0,added,49a78697-ec0c-40d9-b5e2-77b744b94532
"collected rainwater to lake, regionalized, SI",m3,kg,1000.0,added,49f8ab96-992a-44bd-b1b3-d888dc048145
"processed water to lake, regionalized, MX",m3,kg,1000.0,added,4a0d29e4-4c9c-4b89-9ca4-bdb5454c641d
"lake water, regionalized, CN",m3,kg,1000.0,added,4aacfb0c-e979-4702-9234-5e433c45d5f8
"cooling water to river, regionalized, SK",m3,kg,1000.0,added,4b1a8149-9716-4731-956a-a6b5f2c845e8
"cooling water to lake, regionalized, KR",m3,kg,1000.0,added,4bbc2cfd-4ba8-47df-be5b-d8e107adca85
"lake water to turbine, regionalized, IS",m3,kg,1000.0,added,4bd39243-bb9e-48b3-bcd1-d296438a30e4
"processed water to river, regionalized, SE",m3,kg,1000.0,added,4c3f2223-1a22-41d0-945d-624b32cdcaf7
"processed water to groundwater, regionalized, ZA",m3,kg,1000.0,added,4c95fd06-6572-4c52-a94f-3825d9fb3dd9
"lake water, regionalized, UZ",m3,kg,1000.0,added,4cbb37b0-9b26-4378-a77e-890d9794780c
"river water to turbine, regionalized, CO",m3,kg,1000.0,added,4da7001c-87c5-40db-a4ca-30653add92a9
"turbined water to lake, regionalized, KZ",m3,kg,1000.0,added,4dcbadae-a9a2-4380-ba4a-dbff752adfff
"river water, regionalized, FR",m3,kg,1000.0,added,4e1a53d9-08d5-49b6-8c5a-9f714e46cffa
"river water, regionalized, CH",m3,kg,1000.0,added,4e5740d2-aa07-4e74-a0e1-a7b53be64c61
"river water, regionalized, TH",m3,kg,1000.0,added,4efbda20-6aa7-4b37-a331-aa0ee8a0fbe8
de-ionised water,m3,kg,1000.0,added,4f197bef-7b3b-11dd-ad8b-0800200c9a66
de-ionised water,m3,kg,1000.0,added,4f197bf0-7b3b-11dd-ad8b-0800200c9a66
drinking water,m3,kg,1000.0,added,4f197bf2-7b3b-11dd-ad8b-0800200c9a66
drinking water,m3,kg,1000.0,added,4f197bf3-7b3b-11dd-ad8b-0800200c9a66
process water,m3,kg,1000.0,added,4f1a1829-7b3b-11dd-ad8b-0800200c9a66
process water,m3,kg,1000.0,added,4f1a182a-7b3b-11dd-ad8b-0800200c9a66
waste water - untreated,m3,kg,1000.0,added,4f1a3f40-7b3b-11dd-ad8b-0800200c9a66
waste water - untreated,m3,kg,1000.0,added,4f1a3f41-7b3b-11dd-ad8b-0800200c9a66
waste water - untreated,m3,kg,1000.0,added,4f1a3f42-7b3b-11dd-ad8b-0800200c9a66
waste water - untreated,m3,kg,1000.0,added,4f1a3f43-7b3b-11dd-ad8b-0800200c9a66
waste water - untreated,m3,kg,1000.0,added,4f1a3f44-7b3b-11dd-ad8b-0800200c9a66
"processed water to lake, regionalized, BR",m3,kg,1000.0,added,4f3edd91-9a72-429d-ab64-f4a95368c19f
ground water,kg,m3,0.0010,added,4f462198-40cd-4184-8733-86648a20dc3f
"lake water to turbine, regionalized, VE",m3,kg,1000.0,added,4f622e02-be73-472c-98ae-ebb9c0f0ca20
"turbined water to lake, regionalized, VE",m3,kg,1000.0,added,4f6b5de5-e80b-4433-bd2a-9c603f63396d
"ground water, regionalized, LT",m3,kg,1000.0,added,4f921450-5ec2-4a58-9715-bdf30ef29269
"processed water to lake, regionalized, PK",m3,kg,1000.0,added,4fb6e3e6-8006-430b-8283-3ae4443cdffe
"collected rainwater to river, regionalized, IN",m3,kg,1000.0,added,4fe1aa05-2ada-4acb-9b5a-3084a98e80ae
"ground water, regionalized, GR",m3,kg,1000.0,added,5039da20-dc27-4b0e-adf7-9c2e3056504f
"cooling water to river, regionalized, FI",m3,kg,1000.0,added,5060a19c-ef03-43e1-b96d-8e4275e1ecc9
"lake water to turbine, regionalized, FI",m3,kg,1000.0,added,50cb7dd1-70f9-4d18-a6ee-d2120ddb1c87
"fresh water, regionalized, ID",m3,kg,1000.0,added,50ee73c4-891c-4e6c-add5-cc5ff8ed43e9
"lake water, regionalized, PT",m3,kg,1000.0,added,50f27163-b81a-4a87-b632-105802d6e098
Water in slurry,m3,kg,1000.0,added,51ee8edf-8b58-4bb9-8059-de0879722cd4
"lake water to turbine, regionalized, RU",m3,kg,1000.0,added,51f861b1-607f-4d4c-9fd3-d2f1bd11c631
"river water, regionalized, SG",m3,kg,1000.0,added,5205899d-f4bd-444f-944f-d882582bca82
"processed water to groundwater, regionalized, UZ",m3,kg,1000.0,added,5241504c-5a2e-4e10-9c7a-247e2fab7f62
"processed water to lake, regionalized, KR",m3,kg,1000.0,added,52a588cd-312c-43c6-846a-e98052ec6143
"lake water to turbine, regionalized, TR",m3,kg,1000.0,added,53b803f3-fe8c-4671-8328-b47bf54fe698
"cooling water to lake, regionalized, DE",m3,kg,1000.0,added,53c732be-8ea4-4338-bacc-d2a7e700de08
"river water to turbine, regionalized, JP",m3,kg,1000.0,added,5414d1e2-3323-4436-a09e-38a8f122ab14
"lake water, regionalized, IS",m3,kg,1000.0,added,5480e825-1f22-4964-aa69-5bdc98d617ca
"river water to turbine, regionalized, VE",m3,kg,1000.0,added,54b0c8e4-52ed-4eb1-b719-eb277f8f089e
"collected rainwater to river, regionalized, BG",m3,kg,1000.0,added,54d4f4e7-86a9-424e-9bd6-74636ada9a67
"ground water, regionalized, MK",m3,kg,1000.0,added,55385b63-7ab8-4e93-af0a-c142b84aa1f9
"collected rainwater to river, regionalized, US",m3,kg,1000.0,added,5550f1d0-846a-4577-a325-174d9a3dd064
"fresh water, regionalized, IE",m3,kg,1000.0,added,5552571f-716b-47de-8f90-8e421b56d688
"lake water to turbine, regionalized, MX",m3,kg,1000.0,added,564cf3a2-3600-438a-9e2f-99412fb29649
"turbined water to river, regionalized, CH",m3,kg,1000.0,added,565d6bed-8f55-4e86-8059-a7292339fe3d
"river water to turbine, regionalized, US",m3,kg,1000.0,added,567654ea-2369-41ba-b217-720215d611f0
"processed water to lake, regionalized, US",m3,kg,1000.0,added,56bfc40a-e3fc-4742-bcac-2223957bfd5f
"ground water, regionalized, FI",m3,kg,1000.0,added,5735d382-2f68-4652-a001-6fd9ebfdc321
"collected rainwater to lake, regionalized, BA",m3,kg,1000.0,added,57abfbd3-0557-4fe4-95d3-c9de5596e533
"processed water to groundwater, regionalized, LU",m3,kg,1000.0,added,58102c76-005e-466e-8df5-b403f73e6d9c
"lake water, regionalized, CZ",m3,kg,1000.0,added,582c45a0-5166-4e38-85ef-404fa7540318
"lake water, regionalized, ES",m3,kg,1000.0,added,58421dee-bb0d-4ec0-9636-c18cf49829fa
"turbined water to river, regionalized, TR",m3,kg,1000.0,added,5858828d-bc30-4a6b-9cdf-70cce69502ac
"turbined water to lake, regionalized, GR",m3,kg,1000.0,added,586aac0e-c6c5-4ffb-8340-8a48d930ba25
"turbined water to lake, regionalized, EE",m3,kg,1000.0,added,5872d5c0-1364-409c-95b2-85b0d9de2362
"river water to turbine, regionalized, LU",m3,kg,1000.0,added,58b02897-a5ab-4c6b-9acf-b3e7267548d0
"cooling water to lake, regionalized, TH",m3,kg,1000.0,added,58bee463-b315-4a7b-8482-d4f4d32ea5c9
"fresh water, regionalized, VE",m3,kg,1000.0,added,58c2a3d5-a079-4489-8b55-49a36e935cb1
"turbined water to river, regionalized, LV",m3,kg,1000.0,added,58fa248f-483d-467d-af45-76d3b03a7b5c
"collected rainwater to river, regionalized, EE",m3,kg,1000.0,added,5952e5d5-32c5-4ba0-91f9-0dbfdcadf2ef
"turbined water to river, regionalized, CA",m3,kg,1000.0,added,59826249-5c27-40af-a83d-348c2225132b
"collected rainwater to lake, regionalized, UA",m3,kg,1000.0,added,59fbbbdf-1f9c-4013-809a-30f79b9db2eb
"turbined water to lake, regionalized, IN",m3,kg,1000.0,added,5a007be6-5dde-4a57-afa1-4ec35b48775a
"river water, regionalized, US",m3,kg,1000.0,added,5a0c5092-7f66-41b4-a47d-4a641e20f556
"processed water to river, regionalized, TR",m3,kg,1000.0,added,5a24dd54-8c7d-4d20-9a5f-a3ef06541aa4
"cooling water to lake, regionalized, LK",m3,kg,1000.0,added,5a6154f8-5e31-4a68-8a5c-9e93e36fe93b
"lake water to turbine, regionalized, US",m3,kg,1000.0,added,5a8399f7-ea08-4667-bf0d-e32915cb684c
"ground water, regionalized, AR",m3,kg,1000.0,added,5ad71d96-340c-4e11-8c10-67ea50feb928
"cooling water to river, regionalized, KZ",m3,kg,1000.0,added,5b0f3fa3-58aa-44dd-b849-200a087ee6d9
"lake water to turbine, regionalized, IN",m3,kg,1000.0,added,5b14d304-5744-4be1-9e0a-880ae9d10fa0
"lake water, regionalized, BD",m3,kg,1000.0,added,5b412e1d-9a6b-4948-ad11-d505ac38d3f7
"lake water to turbine, regionalized, BE",m3,kg,1000.0,added,5bb193b9-a890-4d92-ad02-69d9a0e94f30
"collected rainwater to lake, regionalized, IN",m3,kg,1000.0,added,5bb6a2d9-d433-4cae-9243-cf0122f82802
"river water to turbine, regionalized, IS",m3,kg,1000.0,added,5c393154-276c-4e0e-844b-bc45b12313c1
"cooling water to river, regionalized, GB",m3,kg,1000.0,added,5c3eb9b5-72cd-4dfb-bbd5-4bdc1a2077eb
"lake water, regionalized, IN",m3,kg,1000.0,added,5ca60dc7-edad-4e68-8a5a-dc70851c663d
"turbined water to river, regionalized, KR",m3,kg,1000.0,added,5cf0dc22-e911-4df7-8f9a-04b7d8809bf4
"cooling water to river, regionalized, PK",m3,kg,1000.0,added,5d18ad10-8d28-410a-ab05-7ed872517303
"collected rainwater to lake, regionalized, BD",m3,kg,1000.0,added,5d94263a-9c96-4f24-9d92-dd1a5d8739ca
"collected rainwater to lake, regionalized, FI",m3,kg,1000.0,added,5da920c6-e9b2-4388-97eb-151b18fdaba1
"lake water to turbine, regionalized, SL",m3,kg,1000.0,added,5e273d98-9d59-488d-bd5b-cb486d8e7603
"collected rainwater to lake, regionalized, SE",m3,kg,1000.0,added,5f191ec8-c7b2-4d1f-91e2-e776c237cdda
freshwater,kg,m3,0.0010,added,5fdac403-9f2c-4a10-b8d6-5367cc9d2d9b
"river water to turbine, regionalized, FI",m3,kg,1000.0,added,601bf35c-17ce-4471-a4b7-9323d1013218
"processed water to groundwater, regionalized, HU",m3,kg,1000.0,added,605a178e-4fbc-40bb-bf9a-6956c7a58fed
"processed water to lake, regionalized, CZ",m3,kg,1000.0,added,60e391e1-4972-48b7-abed-779dc3423859
"cooling water to lake, regionalized, PL",m3,kg,1000.0,added,60f1d0bd-83fe-427a-af2b-402145f907af
"collected rainwater to river, regionalized, IT",m3,kg,1000.0,added,6108648a-87ab-4ee1-8c5d-10a722505528
"turbined water to lake, regionalized, FI",m3,kg,1000.0,added,61504843-af47-4591-b7d9-af87aeeb52aa
"lake water, regionalized, GB",m3,kg,1000.0,added,617dff71-6f1c-4f14-911b-c9fb96017da7
"ground water, regionalized, LV",m3,kg,1000.0,added,61b938a2-c2dc-4b94-90ac-f5c8d153f42e
"processed water to groundwater, regionalized, GB",m3,kg,1000.0,added,61eea9c9-bf71-4e8d-8459-3538cda7e7ef
"cooling water to lake, regionalized, DK",m3,kg,1000.0,added,6205466c-5ff2-4378-b8d3-213acb4237e8
"fresh water, regionalized, AU",m3,kg,1000.0,added,62835e9a-263f-48ff-a703-e6efa3dfcd7e
"river water, regionalized, CA",m3,kg,1000.0,added,62916367-8e94-4645-89f3-5c2a356ef9fc
"lake water, regionalized, ID",m3,kg,1000.0,added,62ff313c-910b-4b80-bfdb-5863ac2fddd1
"fresh water, regionalized, AT",m3,kg,1000.0,added,6313ed6b-0091-433e-ba18-87092afa9346
"processed water to river, regionalized, ID",m3,kg,1000.0,added,63174427-548b-43a0-b08e-6c1cd6358012
"processed water to groundwater, regionalized, BA",m3,kg,1000.0,added,63d0771d-e000-4bc2-a29d-3e780a48fbbe
"river water, regionalized, CL",m3,kg,1000.0,added,63d883ad-4aee-4863-b143-323b6231445f
"fresh water, regionalized, MY",m3,kg,1000.0,added,641b9d88-71df-4157-ace1-b54204a2c244
"processed water to groundwater, regionalized, BD",m3,kg,1000.0,added,6430916d-3e8a-4bc7-8037-209bafe31a72
"cooling water to river, regionalized, VN",m3,kg,1000.0,added,6488d99f-acdb-438c-a47b-c8143f65e35e
"processed water to groundwater, regionalized, CA",m3,kg,1000.0,added,64a7244e-15b1-4aad-b126-9bc673be6f63
"processed water to river, regionalized, SI",m3,kg,1000.0,added,64c9e2bb-72ec-40c6-8ba3-67e0927e2c60
"river water to turbine, regionalized, RU",m3,kg,1000.0,added,6576bcbb-0717-4809-8d3a-ea193700deaa
"processed water to river, regionalized, NO",m3,kg,1000.0,added,6587e82f-8d52-4bd5-bcd8-df8eaa57bf2b
"lake water, regionalized, SI",m3,kg,1000.0,added,65a067de-9609-4ce6-9db1-4221b5a7db77
"fresh water, regionalized, BD",m3,kg,1000.0,added,65c3efca-f9c6-4151-8426-889e2e9bcdee
"processed water to groundwater, regionalized, VE",m3,kg,1000.0,added,66012791-e212-4a2a-b6c1-d6ac476c27c6
"processed water to river, regionalized, CN",m3,kg,1000.0,added,6612a139-496e-44b7-8427-6e801a80629c
"ground water, regionalized, CA",m3,kg,1000.0,added,66e332d8-0ebe-4de8-a12e-e625a2433bcd
"river water to turbine, regionalized, BG",m3,kg,1000.0,added,6714191f-fe6c-4dd5-adcc-8c3aaec9d1f7
"ground water, regionalized, CZ",m3,kg,1000.0,added,672c8c82-4b80-4a4c-ad89-f830cc02427f
"processed water to groundwater, regionalized, SL",m3,kg,1000.0,added,67853b42-dc5a-4bac-a1ca-1a5d6b95bde9
"cooling water to river, regionalized, MK",m3,kg,1000.0,added,6798aca9-684e-4900-be7a-188738b090c7
"processed water to lake, regionalized, UA",m3,kg,1000.0,added,67a11c7c-659f-4fa1-a4e3-5a10b824bff6
Water (rain water),m3,kg,1000.0,added,67f8bf50-0fba-11e7-93ae-92361f002671
"lake water, regionalized, BE",m3,kg,1000.0,added,680ac8b7-c5b6-486b-a6cb-4d137206c78f
"ground water, medium scarcity",m3,kg,1000.0,added,68749070-84fa-418c-b197-564476953df6
"processed water to river, regionalized, CZ",m3,kg,1000.0,added,69469a2d-e0fe-464f-b05d-b7c48efa99c8
"cooling water to lake, regionalized, RO",m3,kg,1000.0,added,6962e2a8-49e3-48e1-8500-c4111ec3e6ba
"ground water, regionalized, LU",m3,kg,1000.0,added,6988b33a-9301-413f-8f81-8da4a445a988
"river water, regionalized, GR",m3,kg,1000.0,added,69f3d386-4616-4e58-9406-d889cb4679b6
"collected rainwater to lake, regionalized, ES",m3,kg,1000.0,added,6a375717-e90a-4f58-be09-9f7992187c98
"collected rainwater to river, regionalized, NO",m3,kg,1000.0,added,6a689bca-8b8b-4292-a6e6-dbbebafce248
"cooling water to river, regionalized, RS",m3,kg,1000.0,added,6a7865d5-dda7-46c5-8f71-a53877dcf2e2
"lake water, regionalized, FI",m3,kg,1000.0,added,6b24a305-5969-4ad7-94f6-43eb81e9e3f7
"cooling water to lake, regionalized, MY",m3,kg,1000.0,added,6c089ac1-2595-4c82-9c5b-354a87b437fc
"cooling water to lake, regionalized, KZ",m3,kg,1000.0,added,6c5fa68c-3509-415c-b310-ce0431244e33
"ground water, regionalized, NZ",m3,kg,1000.0,added,6c748279-1a53-4f35-bb86-5b5a75643dba
"processed water to lake, regionalized, PH",m3,kg,1000.0,added,6c93ec28-c925-4d6f-b8be-678f361507d9
"cooling water to river, regionalized, CA",m3,kg,1000.0,added,6c9847e5-7393-46b2-a2b9-6b9924937bac
"turbined water to river, regionalized, CO",m3,kg,1000.0,added,6c98db6a-3892-47cc-abfd-1b85f09ed11a
"lake water to turbine, regionalized, EE",m3,kg,1000.0,added,6d3ba9dd-26d8-4e9a-9af5-23fc78fdb3ec
"processed water to river, regionalized, LV",m3,kg,1000.0,added,6d413604-6762-4a99-a268-1c93e99e26d2
"fresh water, regionalized, US",m3,kg,1000.0,added,6d97c90a-763f-40ff-b100-bde634d0ba83
"processed water to lake, regionalized, AR",m3,kg,1000.0,added,6da5c1a4-4069-46c9-8b8a-c23925aee355
"collected rainwater to river, regionalized, UZ",m3,kg,1000.0,added,6def1b97-82f4-470b-afe5-b79ee80666e9
"processed water to groundwater, regionalized, LV",m3,kg,1000.0,added,6e61daba-696d-45a2-85d7-a300edda4192
"ground water, regionalized, IS",m3,kg,1000.0,added,6e6bbc28-e007-4bf8-ac4b-1f3943126fb4
"lake water, regionalized, VN",m3,kg,1000.0,added,6e7a4cd2-d610-4f91-88ab-df7c640f6eb1
"processed water to groundwater, regionalized, LK",m3,kg,1000.0,added,6e7f2dcb-54a3-43eb-b7b5-cb2f96156956
"river water to turbine, regionalized, NL",m3,kg,1000.0,added,6e90b40b-130a-44e2-81c3-b4741fdd1416
"lake water, regionalized, UA",m3,kg,1000.0,added,6f0ca8c9-5a82-4c8a-bd8e-dd376d56aa41
"cooling water to river, regionalized, PL",m3,kg,1000.0,added,6f405890-f7c2-432b-8c33-7cb04a923657
"lake water, regionalized, KR",m3,kg,1000.0,added,6fad3dd0-e513-48b1-8c7e-f7fc8b7f89d7
"collected rainwater to lake, regionalized, HU",m3,kg,1000.0,added,6fd6ceb1-656d-4188-b603-a1a81922cafa
"processed water to lake, regionalized, LU",m3,kg,1000.0,added,70904f05-fc2f-4f4c-94fa-a5ce176a1012
"collected rainwater to lake, regionalized, AU",m3,kg,1000.0,added,70fedeb0-f857-40f9-81f8-15c0d9c457c4
"fresh water, regionalized, ZA",m3,kg,1000.0,added,7112d53a-771b-4d27-b0b3-18693b902d7c
"lake water, regionalized, EE",m3,kg,1000.0,added,7136fee6-ed74-4f37-a0a6-20ed595108b7
"processed water to lake, regionalized, EE",m3,kg,1000.0,added,715442bb-ea6c-43e6-9a29-1a314912adfd
"cooling water to lake, regionalized, CH",m3,kg,1000.0,added,718c859a-63f2-4331-8491-88ce9c7e412d
"ground water, regionalized, SI",m3,kg,1000.0,added,71c41113-ef09-455e-994c-ff4f3d714fd8
"collected rainwater to lake, regionalized, VN",m3,kg,1000.0,added,71cc44cf-033d-4f2a-8800-124713ba6e92
"processed water to river, regionalized, LT",m3,kg,1000.0,added,7220ab13-503a-4f45-8242-3abe68c0e706
"ground water, regionalized, DE",m3,kg,1000.0,added,724ccbe1-c2fb-4397-b670-937387a5f2b3
Waste water,m3,kg,1000.0,added,72721c4e-d589-4ad7-8c5e-4228b8690ddb
"processed water to river, regionalized, IN",m3,kg,1000.0,added,728a4f8f-b395-421b-8bc2-bf956010fa14
"river water to turbine, regionalized, BR",m3,kg,1000.0,added,731f164e-9c76-4ddf-b758-8e8049c1ad09
"lake water to turbine, regionalized, GR",m3,kg,1000.0,added,732dfd52-a8cd-4658-a9a4-3a530d26f312
"fresh water, regionalized, BR",m3,kg,1000.0,added,735e8a28-d77d-44ca-95ac-05d41369c942
"collected rainwater to lake, regionalized, RU",m3,kg,1000.0,added,7375e74f-7c88-4452-821b-ca57aa83889a
"lake water to turbine, regionalized, ID",m3,kg,1000.0,added,73d95516-95cc-42b9-aea8-2d2f48c51cc2
Water (evapotranspiration),m3,kg,1000.0,added,73e2c735-8a30-4f18-a846-d7392081a665
"river water, regionalized, AR",m3,kg,1000.0,added,7446f31b-9374-4f5a-b0ae-bab9425cf428
"cooling water to river, regionalized, BA",m3,kg,1000.0,added,748bb562-7538-4b29-bf49-fe468bf18e98
"ground water, regionalized, ES",m3,kg,1000.0,added,749b5db8-5377-4a64-a3c7-13fd08b51916
"collected rainwater to lake, regionalized, CN",m3,kg,1000.0,added,74c5509b-0708-4afb-a0c9-b8715aaa7fed
"collected rainwater to river, regionalized, ES",m3,kg,1000.0,added,74e77b79-d914-4e04-a26e-3e0a965acef9
"fresh water, regionalized, SL",m3,kg,1000.0,added,74f7fe7d-c5eb-4735-9844-cdeaa72dc49e
"river water to turbine, regionalized, NZ",m3,kg,1000.0,added,74fc258c-9fdc-42c4-8721-c60ef474bdb4
"collected rainwater to river, regionalized, TR",m3,kg,1000.0,added,752ae5c6-7bbe-424c-8afb-ee4dc57332fc
"river water to turbine, regionalized, SL",m3,kg,1000.0,added,754c0663-5878-4a2d-999f-78ca934fde6c
"cooling water to lake, regionalized, RU",m3,kg,1000.0,added,75530b75-8e66-4071-984f-9f9e9f087d04
"turbined water to river, regionalized, NO",m3,kg,1000.0,added,756bcc26-9a88-4cfd-8bdd-097f93f83980
