Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,,Second CAS
Nitrogen fluoride,007783-54-2,,nitrogen trifluoride,kg,chemical,,,air/lower stratosphere + upper troposphere,fdf090d7-ee05-4f33-8b7f-5504c718c3cd,,,7783-54-2
Nitrogen fluoride,007783-54-2,,trifluoramine,kg,chemical,,,air/non-urban air or from high stacks,f8cf5fd7-9f94-4870-9e6a-768deae9b766,,,7783-54-2
Nitrogen fluoride,007783-54-2,,nitrogen trifluoride,kg,chemical,,,air/unspecified,e79e03c3-5b19-45f6-b3f3-bf710c6663d2,,,7783-54-2
Nitrogen fluoride,007783-54-2,,trifluoramine,kg,chemical,,,air/urban air close to ground,1fdc280a-34d3-4513-b110-3f526b17c443,,,7783-54-2
Nitrogen oxides,011104-93-1,,,kg,group?,,,"air/low population density, long-term",9115356e-a534-4329-9ec6-d9208720241b,,,
Nitrogen oxides,011104-93-1,,,kg,group?,,,air/lower stratosphere + upper troposphere,4841a0fe-c250-4a39-94a1-1bc31426c0f1,,,
Nitrogen oxides,011104-93-1,,,kg,group?,,,air/non-urban air or from high stacks,77357947-ccc5-438e-9996-95e65e1e1bce,,,
Nitrogen oxides,011104-93-1,,,kg,group?,,,air/unspecified,c1b91234-6f24-417b-8309-46111d09c457,,,
Nitrogen oxides,011104-93-1,,,kg,group?,,,air/urban air close to ground,d068f3e2-b033-417b-a359-ca4f25da9731,,,
"Nitrogen, organic bound",007727-37-9,,,kg,group?,,,water/ground-,b646bb3e-65e2-4f85-8376-9408e94e4b59,,,
"Nitrogen, organic bound",007727-37-9,,,kg,group?,,,"water/ground-, long-term",15cfc784-a719-4230-ad2e-f4104d56c427,,,
